в противовес тому что,4,(PR)(S)(SPRO)(ADV | PARENTH  |  ADVPRO  |  CONJ  |  PART | SPRO)  ,3,3,63863,30,585,14083,205820,единый,
в тех целях чтобы,4,(PR)(APRO)(S)(ADV | PARENTH  |  ADVPRO  |  CONJ  |  PART)  ,4,4,253564,24443,110,7599,766125,единый,
в противоположность тому как,4,(PR)(S)(SPRO)(ADV | PARENTH  |  ADVPRO  |  CONJ  |  PART)  ,4,4,52861,20,474,6415,171493,единый,
и вот оттого,3,(ADV | PARENTH | ADVPRO | CONJ | PART) (ADV | PARENTH | ADVPRO | CONJ | PART) (ADV | PARENTH | ADVPRO | CONJ | PART),5,5,543342,63037,1326,3270477,2 части,,
коли даже,2,(ADV | PARENTH | ADVPRO | CONJ | PART) (ADV | PARENTH | ADVPRO | CONJ | PART),10,9,3332,175137,14358364,вопрос,,,
правильнее говоря,2,(ADV | PARENTH | ADVPRO | CONJ | PART | PRAEDIC)(V),13,13,1042,33564,19993463,единый,,,
промеж тем,2,(PR)(SPRO),13,13,763,99099,5368295,единый,,,
вроде того чтобы,3,(PR)(SPRO)(ADV | PARENTH | ADVPRO | CONJ | PART) ,13,13,1055,129309,90899,1497018,единый,,
под видом того что,4,(PR)(S)(SPRO)(ADV | PARENTH | SPRO | ADVPRO | CONJ | PART),14,14,2102,23,12239,14083,205820,единый,
наряду с тем что,4,(ADV | PARENTH | ADVPRO | CONJ | PART)(PR)(SPRO)(ADV | PARENTH | ADVPRO | CONJ | PART | SPRO),15,15,218,40270,16290,50359,412676,единый,
и кстати говоря,3,(ADV | PARENTH | ADVPRO | CONJ | PART) (ADV | PARENTH | ADVPRO | CONJ | PART) (V),17,17,984927,1965,5329,4653312,вопрос,,
коли же,2,(ADV | PARENTH | ADVPRO | CONJ | PART)(ADV | PARENTH | ADVPRO | CONJ | PART),27,26,3332,486856,14358364,вопрос,,,
с целью чтобы,3,(PR)(S)(ADV | PARENTH | ADVPRO | CONJ | PART) ,27,27,363005,459,40586,3756889,единый,,
едва бы,2,(ADV | PARENTH | ADVPRO | CONJ | PART)(ADV | PARENTH | ADVPRO | CONJ | PART |V),31,31,59877,366802,33341221,единый,,,
в противоположность тому что,4,(PR)(S)(SPRO)(ADV | PARENTH  |  ADVPRO  |  CONJ  |  PART | SPRO)  ,32,32,63863,69,585,14083,205820,единый,
коли же | ж,2,(ADV | PARENTH | ADVPRO | CONJ | PART) (ADV | PARENTH | ADVPRO | CONJ | PART),27,34,3332,512792,14358364,единый,,,
в отношении того что,4,(PR)(S)(SPRO)(ADV | PARENTH  |  ADVPRO  |  CONJ  |  PART | SPRO)  ,34,34,63863,315,12239,14083,205820,единый,
и всё ж таки,4,(ADV | PARENTH | ADVPRO | CONJ | PART)(SPRO|APRO|ADVPRO)(ADV | PARENTH | ADVPRO | CONJ | PART) (ADV | PARENTH | ADVPRO | CONJ | PART),35,35,113071,10678,1380,693,768661,вопрос,
во имя того чтобы,4,(PR)(S)(SPRO)(ADV | PARENTH  |  ADVPRO  |  CONJ  |  PART)  ,36,36,1728,177,9888,301,171493,единый,
по тому поводу что,4,(PR)(APRO)(S)(ADV|PARENTH|SPRO|ADVPRO|CONJ|PART),38,38,49263,5212,2377,34175,973404,единый,
вслед за тем как,4,(ADV | PARENTH  |  ADVPRO  |  CONJ  |  PART)(PR)(SPRO)(ADV | PARENTH  |  ADVPRO  |  CONJ  |  PART)  ,45,45,1439,20937,10742,19554,329865,единый,
по случаю того что,4,(PR)(S)(SPRO)(ADV|PARENTH|ADVPRO|CONJ|PART|SPRO),52,52,14516,72,12239,14083,205820,единый,
в тот момент как,4,(PR)(APRO)(S)(ADV | PARENTH  |  ADVPRO  |  CONJ  |  PART)  ,55,55,253564,8739,4524,48298,766125,единый,
и вот поэтому,3,(ADV | PARENTH | ADVPRO | CONJ | PART) (ADV | PARENTH | ADVPRO | CONJ | PART) (ADV | PARENTH | ADVPRO | CONJ | PART),59,59,543342,63037,3318,3270477,2 части,,
в подтверждение того что,4,(PR)(S)(SPRO)(ADV | PARENTH  |  ADVPRO  |  CONJ  |  PART | SPRO)  ,59,59,63863,99,12239,14083,205820,единый,
 под предлогом того что,4,(PR)(S)(SPRO)(ADV | PARENTH | SPRO | ADVPRO | CONJ | PART),60,60,2102,70,12239,14083,205820,единый,
вот оттого,2,(ADV | PARENTH | ADVPRO | CONJ | PART) (ADV | PARENTH | ADVPRO | CONJ | PART),65,65,203799,7798,14358364,вопрос,,,
нет того чтобы,3,(PRAEDIC)(SPRO)(ADV | PARENTH | ADVPRO | CONJ | PART) ,65,65,18600,3220,286,43225,единый,,
начиная с того что,4,(V)(PR)(SPRO)(ADV|PARENTH|ADVPRO|SPRO|CONJ|PART),67,67,115,55962,27372,108961,570390,единый,
разве только что,3,(ADV | PARENTH | ADVPRO | CONJ | PART)(ADV | PARENTH | ADVPRO | CONJ | PART)(ADV | PARENTH | SPRO | ADVPRO | CONJ | PART),70,70,4595,87193,135216,4562252,единый,,
а вернее сказать,3,(ADV | PARENTH | ADVPRO | CONJ | PART) (ADV | PARENTH | ADVPRO | CONJ | PART|PRAEDIC) (V),71,71,160837,1539,19634,2919411,вопрос,,
причём ещё,2,(ADV | PARENTH | ADVPRO | CONJ | PART) (ADV | PARENTH | ADVPRO | CONJ | PART),72,72,10513,247834,14358364,единый,,,
наподобие того как,3,(PR)(SPRO)(ADV | PARENTH | ADVPRO | CONJ | PART) ,72,72,88,129309,104129,1497018,единый,,
в результате того что,4,(PR)(S)(SPRO)(ADV | PARENTH  |  ADVPRO  |  CONJ  |  PART | SPRO)  ,73,73,63863,686,12239,14083,205820,единый,
при всём том что,4,(PR)(APRO)(SPRO)(ADV|PARENTH|SPRO|ADVPRO|CONJ|PART),76,76,1057,3639,837,2223,50663,единый,
всё одно как,3,(SPRO|APRO|ADVPRO)(A | APRO | ANUM)(ADV | PARENTH | ADVPRO | CONJ | PART) ,77,77,59223,3465,33911,718534,единый,,
а тем не менее,4,(ADV | PARENTH | ADVPRO | CONJ | PART) ( SPRO) (ADV | PARENTH | ADVPRO | CONJ | PART) (ADV | PARENTH | ADVPRO | CONJ | PART),83,81,34697,10845,26842,7906,325275,вопрос,
а точнее сказать,3,(ADV | PARENTH | ADVPRO | CONJ | PART) (ADV | PARENTH | ADVPRO | CONJ | PART|PRAEDIC) (V),82,82,160837,1033,19634,2919411,вопрос,,
в расчёте на то что,5,(PR)(S)(PR)(SPRO)(ADV|PARENTH|SPRO|ADVPRO|CONJ|PART),102,102,19179,114,3060,3160,11853,58091,единый
за исключением того что,4,(PR)(S)(SPRO)(ADV | PARENTH  |  ADVPRO  |  CONJ  |  PART | SPRO)  ,116,103,6213,120,12239,14083,205820,единый,
а лучше сказать,3,(ADV | PARENTH | ADVPRO | CONJ | PART) (A | ADV |  PRAEDIC) (V),109,109,52091,17593,16010,2049864,вопрос,,
в зависимости от того что,5,(PR)(S)(PR)(SPRO)(ADV|PARENTH|SPRO|ADVPRO|CONJ|PART),109,109,19179,564,2706,6309,11853,58091,единый
по причине того что,4,(PR)(S)(SPRO)(ADV|PARENTH|ADVPRO|CONJ|PART|SPRO),110,110,14516,128,12239,14083,205820,единый,
нет бы,2,(PRAEDIC)(ADV | ADVPRO | PARENTH | CONJ | PART | V),117,117,153187,20367,1727096,единый,,,
вопреки тому что,3,(PR)(SPRO)(ADV | PARENTH | ADVPRO | SPRO | CONJ | PART) ,121,121,311,52058,298502,1839989,единый,,
в надежде на то что,5,(PR)(S)(PR)(SPRO)(ADV|PARENTH|SPRO|ADVPRO|CONJ|PART),123,123,19179,132,3060,3160,11853,58091,единый
