connective,mmi,mi3,pmi
коли даже,14.97226,6.14799,2.52983
и кстати говоря,18.92799,18.01709,17.81824
коли же,15.01073,8.30821,2.58533
и всё ж таки,23.08239,35.20637,40.53349
вот оттого,15.86752,10.83749,3.82141
а вернее сказать,19.7113,23.05792,20.96606
а тем не менее,16.24519,33.48729,35.63224
а точнее сказать,20.25401,23.88871,21.74902
а лучше сказать,17.97423,23.23901,19.99043
а вдобавок,16.57881,13.01672,4.84759
коли и,15.49687,12.02854,3.28667
словно как,15.35464,12.01921,3.08148
и к тому же|ж,17.91397,37.12547,37.95893
да вдобавок,18.32469,15.92926,7.36636
коли бы,18.34118,14.32238,4.95932
а и то,13.93183,22.16877,16.157
а зато,15.25228,13.01144,2.93381
если даже и,17.40459,23.19717,17.14671
но между тем,15.8224,24.87092,19.5015
и несмотря на это,18.57033,39.60688,40.54223
точно бы,16.73378,13.53454,2.64033
вот поэтому,16.79463,15.74946,5.15895
а в результате,16.81357,24.16084,16.51687
а оттого,16.73756,16.39755,5.07662
отчего и,15.8054,15.75902,3.73179
а в особенности,17.12259,25.17625,16.96269
но и то,15.48809,26.41287,18.40222
и вдобавок,17.60175,18.1744,6.32338
а иначе,16.09352,16.73188,4.14747
и в том числе,19.43883,39.04301,36.25756
а стало быть,19.63289,29.33276,22.11954
а равно и,19.56189,28.15828,20.25903
а поэтому,16.29337,17.1956,4.43578
и стало быть,17.41724,27.28992,18.92302
а вместе с тем,17.5552,41.55207,39.0777
а особенно,16.50036,18.15606,4.73441
оттого и,16.42881,18.27641,4.63118
раз уж,19.71233,19.9179,6.84749
и в результате,16.86347,26.67416,16.58886
а кроме того,17.65523,30.59948,22.14571
а к тому же|ж,18.2453,41.9447,38.43694
а не только,17.53932,27.32501,17.34108
а если и,17.38416,27.21864,17.11723
и также,14.80665,17.11057,2.2909
а тем более,19.27547,31.30596,22.7558
но также,16.02216,18.45074,4.04452
и тем более,18.87798,31.08051,22.18234
но вместе с тем,18.29547,43.62814,40.14569
да ещё и,16.69484,27.17747,16.12274
а также и,18.90202,29.50748,19.30703
и оттого,17.39817,20.46823,6.02967
и тем самым,17.4936,36.65592,29.34446
а следовательно,18.23413,21.34386,7.23571
и в особенности,17.40505,28.38726,17.3702
но тем не менее,20.12294,45.05427,41.22666
и кроме того,17.62689,31.83512,22.10483
как будто бы | б,21.48354,30.2003,19.20131
да и то,17.87505,32.03638,21.84588
словно бы,19.7732,21.8574,7.02528
и таким образом,21.20555,31.85829,21.3737
и следовательно,17.57261,21.44817,6.28134
а всё-таки,17.33743,21.2396,5.94205
и вместе с тем,18.04367,44.75112,39.78241
и именно,15.89555,19.85995,3.86185
как например,18.40123,22.4006,7.47679
или иначе,19.45862,24.12482,9.00227
и лишь,16.64153,21.34092,4.93808
и притом,18.03102,22.80536,6.94268
и всё-таки,16.84119,21.83975,5.22612
и особенно,17.14894,22.19065,5.67011
а главное,19.01042,23.0727,6.86583
да ведь,18.43683,23.68212,7.52815
но всё-таки,18.17464,23.61909,7.14989
но зато,19.21672,24.67705,8.65329
а между тем,18.93895,35.52241,23.99773
и поэтому,17.64597,23.34228,6.38718
а ещё,16.52042,22.66388,4.76334
но только,16.29807,22.5855,4.44257
а потому,17.68201,24.36919,6.43918
но ведь,18.21031,24.93949,7.20135
да ещё,17.82971,24.26669,6.65226
и наконец,17.75205,24.7514,6.54021
и вообще,17.69106,24.97887,6.45223
и потому,17.12646,24.79138,5.63768
и если,16.52292,24.30175,4.76695
а если,17.53257,25.24183,6.22357
а также,19.03713,27.71314,8.39419
как будто,19.48447,28.37511,9.03958
а не,16.08852,25.54118,4.14025
но и,16.95319,27.1864,5.3877
тем паче что,20.44457,27.59545,23.82311
и всё равно,15.73556,29.22811,20.53009
а всё же | ж,15.69793,25.92402,15.3864
и всё же | ж,16.47413,29.63447,16.50622
но всё же | ж,17.76345,31.55957,18.36631
а не только что,17.21914,28.25567,30.34541
но всё ж таки,21.47359,36.01212,40.14073
а всё ж таки,22.31393,38.83897,41.35309
лишь бы только,21.13843,26.07014,19.38378
лишь только бы,18.51713,17.81826,14.92169
вот ради чего,18.19322,22.24434,22.92187
вот зачем,16.84174,15.82814,5.22692
вот когда,16.91519,20.30547,5.33289
вот как,17.1516,23.14856,5.67395
а значит,19.74722,23.26844,8.57306
и значит,16.24542,18.20899,3.52103
а скорее всего,18.87987,27.81684,23.29552
но скорее всего,19.20021,28.35316,23.75767
да только,15.68422,18.46159,3.44021
