connective,mmi,mi3,pmi
в противовес тому что,19.64761,32.12871,43.18201
в тех целях чтобы,19.39897,27.19807,35.23852
в противоположность тому как,20.79673,34.58303,45.89277
правильнее говоря,18.81667,10.06571,7.12087
промеж тем,15.41586,9.29468,6.00852
вроде того чтобы,15.07315,17.02803,17.16537
под видом того что,21.82684,37.38883,46.32597
наряду с тем что,17.91663,30.83396,36.67022
с целью чтобы,19.17074,19.82705,19.09461
едва бы,14.26597,6.23031,-0.91996
в противоположность тому что,21.18183,38.39718,45.39542
коли же | ж,15.22709,9.0611,2.89747
в отношении того что,16.68322,34.01981,38.90529
во имя того чтобы,24.25565,42.43641,50.88294
по тому поводу что,21.21531,32.55917,36.4771
вслед за тем как,18.24859,34.25907,38.44168
по случаю того что,20.06549,38.25186,43.78489
в тот момент как,17.48252,30.52369,32.47365
в подтверждение того что,18.39184,36.8308,41.37032
 под предлогом того что,22.16913,40.64169,46.81979
нет того чтобы,12.63286,28.44105,28.98703
начиная с того что,19.72761,34.3436,37.41517
разве только что,18.62524,20.60419,17.467
причём ещё,15.55547,10.89008,3.37122
наподобие того как,19.13294,24.51125,23.02241
в результате того что,16.66901,35.53381,38.8848
при всём том что,18.06345,42.61602,48.98606
всё одно как,15.22768,22.94233,20.56521
в расчёте на то что,19.4112,52.77619,62.7951
за исключением того что,21.08676,40.6401,45.25826
в зависимости от того что,17.31026,50.808,59.76408
по причине того что,20.23937,39.9242,44.03573
нет бы,11.62499,12.1664,3.81168
вопреки тому что,18.86516,24.66287,21.74327
в надежде на то что,19.45181,53.19122,62.85368
коротко говоря,19.37314,15.36162,8.07334
проще сказать,19.26607,15.41977,7.76921
независимо от того что,19.28516,36.83416,38.6446
пускай бы,18.52485,13.9162,5.2243
на основании того что,19.13699,39.77317,42.44534
невзирая на то что,20.19664,38.39209,39.95958
с тех пор когда,17.46377,33.18449,32.44661
разве лишь,17.8343,15.37538,6.65888
правильнее сказать,20.74085,17.69219,9.89688
исходя из того что,21.71231,38.82099,40.27848
за счёт того что,20.71135,41.9565,44.71666
относительно того что,18.21815,25.45918,20.80983
коли уж,18.96904,16.79325,8.29597
притом ещё,17.27023,15.12618,5.8451
с условием что,20.27728,24.95013,19.98418
меж тем как,19.23214,27.17077,23.16552
без того чтобы не,18.34268,38.69552,39.71527
с той разницей что,23.95849,39.23878,40.43467
ровно бы,19.07141,15.50062,6.01282
в знак того что,18.84671,40.59727,42.02655
на тот случай если,22.79507,39.38306,40.13805
по сравнению с тем что,19.60326,55.39376,63.07218
точнее говоря,21.01118,18.8116,10.28687
под предлогом что,23.19284,28.4948,24.19044
вне всякого сомнения,29.01566,32.30953,29.5113
да и просто,17.1956,23.59821,16.84519
помимо того что,18.51335,26.96884,21.23572
и напротив,15.5685,14.70152,3.39003
добро бы,20.66632,16.58622,6.10308
вроде того что,18.62323,27.40879,21.39424
точнее сказать,20.39204,18.80811,9.39364
чтобы не сказать,18.06891,24.27541,16.57884
в силу того что,18.41838,41.57135,41.4086
а не то что,18.30838,38.78313,37.19781
насчёт того что,18.6806,27.90725,21.47701
наряду с этим,20.61687,31.39682,26.41845
к слову сказать,23.73406,31.54903,26.6132
вернее сказать,20.35341,19.38609,9.33791
в связи с чем,17.00811,41.2527,40.5555
помимо того,16.38834,16.64241,7.4115
потому чтобы,16.18878,16.32423,4.28489
точь-в-точь как,19.62256,19.77556,9.23879
на случай если,21.79846,29.25469,22.88561
вследствие того что,18.37108,28.06768,21.03046
по той причине что,24.00308,41.58098,40.499
по поводу того что,20.04575,43.89627,43.7564
ради того чтобы,18.56701,29.16097,22.20595
и вот почему,19.03305,27.28671,19.49607
сразу как,16.33686,16.89936,4.49853
затем что,16.72198,16.61801,4.02875
пусть бы,18.07835,17.0259,4.58014
в связи с тем что,17.67695,55.65689,60.29311
тем паче,19.28826,21.07394,10.78856
при всём том,18.7235,35.96419,31.61394
при условии что,23.66386,31.43861,24.86998
даром что,19.4728,18.50476,6.10978
благодаря чему,19.16651,22.21841,11.41956
если бы и,18.28701,24.97627,15.27006
коль скоро,22.06908,23.30714,12.76838
благодаря тому что,18.9828,29.65728,21.91299
вообще говоря,20.17101,21.00022,9.22442
прежде нежели,21.42493,22.88918,11.83906
и однако,16.40762,17.89122,4.60061
и правда,18.0708,19.65576,7.00007
затем чтобы,19.53766,21.22143,9.11631
в результате чего,18.43758,32.62036,25.52156
короче говоря,22.48033,23.67306,12.55607
меж тем,18.63127,22.11688,10.64738
при том что,15.54694,26.86905,16.95609
что будто,16.3965,17.52438,3.42529
мало того что,18.03719,35.75506,29.59777
когда бы,17.1557,17.5543,3.24904
до тех пор пока не,22.95433,57.56814,60.92513
вслед за тем,18.75278,31.87178,23.72914
ежели бы,20.27753,20.85956,7.75288
вследствие чего,18.94511,23.22941,11.10015
кроме того что,17.47185,29.23021,19.73315
разве только,17.98617,20.31884,6.87798
в случае если,20.99413,30.67459,21.72519
иначе говоря,21.29401,23.17694,10.84458
вследствие этого,18.49315,22.92192,10.44811
больше того,18.41027,22.47468,9.73329
по меньшей мере,23.78168,30.98407,21.96027
потому как,15.28783,17.95667,2.98509
как скоро,17.19067,19.8659,5.73032
другими словами,22.88393,23.87257,11.47926
и ведь,14.96687,17.68617,2.52204
если даже,17.21359,19.79615,5.76338
